id,title,yr,score,votes,director
2431460,Polizeibericht Überfall,1928,7.0,246,"Metzner, Ernö"
2098225,Four Walls,1928,7.6,245,"Nigh, William"
2137227,Hangman's House,1928,6.5,244,"Ford, John"
2598195,The Divine Woman,1928,7.2,237,"Sjöström, Victor"
2231669,Ko-Ko's Earth Control,1928,7.1,234,"Fleischer, Dave"
2670897,There It Is,1928,7.1,232,"Bowers, Charles R."
2000173,De brug,1928,7.0,231,"Ivens, Joris"
1829416,A Lady of Chance,1928,7.0,230,"Leonard, Robert Z."
2630188,The Mating Call,1928,7.0,204,"Cruze, James"
2032064,Dom na Trubnoy,1928,7.4,193,"Barnet, Boris"
2651099,The Sex Life of the Polyp,1928,5.7,184,"Chalmers, Thomas"
2570143,Tempest,1928,6.8,176,"Tourjansky, Viktor"
2573737,That Certain Thing,1928,7.6,165,"Capra, Frank"
2413110,Pass the Gravy,1928,7.2,165,"Guiol, Fred"
2660705,The Trail of '98,1928,7.1,164,"Brown, Clarence"
1858472,Alraune,1928,6.6,157,"Galeen, Henrik"
2549806,Submarine,1928,7.7,156,"Capra, Frank"
2664338,The Viking,1928,6.9,149,"Neill, Roy William"
2215614,Jûjiro,1928,7.0,143,"Kinugasa, Teinosuke"
2114416,Geschlecht in Fesseln,1928,6.8,141,"Dieterle, William"
2189017,Inflation,1928,6.8,140,"Richter, Hans"
1842853,Abwege,1928,7.3,139,"Pabst, Georg Wilhelm"
2679450,Tire au flanc,1928,6.3,134,"Renoir, Jean"
2387265,Odinnadtsatyy,1928,7.2,122,"Vertov, Dziga"
2658595,The Telltale Heart,1928,7.0,118,"Klein, Charles"
2708835,Underground,1928,7.0,118,"Asquith, Anthony"
2254703,La pieuvre,1928,6.6,118,"Painlevé, Jean"
1932336,Bringing Up Father,1928,7.6,116,"Conway, Jack"
2652661,The Singing Fool,1928,6.5,114,"Bacon, Lloyd"
2388820,Oh What a Knight,1928,6.7,106,"Disney, Walt"
2311164,Maldone,1928,6.7,106,"Grémillon, Jean"
2743816,While the City Sleeps,1928,6.8,104,"Conway, Jack"
1818357,4 Devils,1928,7.0,103,"Murnau, F.W."
2704159,Un chien andalou,1929,7.9,24619,"Buñuel, Luis"
1957549,Chelovek s kino-apparatom,1929,8.4,10427,"Vertov, Dziga"
2019875,Die Büchse der Pandora,1929,8.0,5881,"Pabst, Georg Wilhelm"
1918236,Blackmail,1929,7.1,5838,"Hitchcock, Alfred"
2591450,The Cocoanuts,1929,7.3,4433,"Florey, Robert"
2586918,The Broadway Melody,1929,6.6,3345,"Beaumont, Harry"
2450307,Queen Kelly,1929,8.0,2251,"Wood, Sam"
2561654,Tagebuch einer Verlorenen,1929,7.8,2213,"Pabst, Georg Wilhelm"
2652933,The Skeleton Dance,1929,7.8,1917,"Disney, Walt"
1911235,Big Business,1929,7.9,1728,"Horne, James W."
1978119,Coquette,1929,7.5,1449,"Taylor, Sam"
2629458,The Manxman,1929,6.3,1436,"Hitchcock, Alfred"
2099907,Frau im Mond,1929,7.4,1398,"Lang, Fritz"
2614268,The Hollywood Revue of 1929,1929,7.9,1341,"Reisner, Charles"
2213748,Juno and the Paycock,1929,4.8,1269,"Hitchcock, Alfred"
2626207,The Love Parade,1929,7.3,1090,"Lubitsch, Ernst"
2536714,Spite Marriage,1929,7.2,1063,"Keaton, Buster"
2661183,The Trespasser,1929,8.0,946,"Goulding, Edmund"
2316538,Marianne,1929,8.5,883,"Leonard, Robert Z."
2135548,Hallelujah,1929,7.0,881,"Vidor, King"
2014584,Desert Nights,1929,8.4,870,"Nigh, William"
1877725,Arsenal,1929,7.4,853,"Dovzhenko, Aleksandr"
2283124,Liberty,1929,7.6,827,"McCarey, Leo"
1874136,Applause,1929,7.4,805,"Mamoulian, Rouben"
2461528,Regen,1929,7.3,780,"Ivens, Joris"
2617561,The Iron Mask,1929,7.8,759,"Dwan, Allan"
2418761,Perfect Day,1929,7.1,732,"Parrott, James"
2422714,Piccadilly,1929,7.2,730,"Dupont, Ewald André"
1880797,Asphalt,1929,7.6,694,"May, Joe"
2327054,Men O'War,1929,7.3,613,"Foster, Lewis R."
2541410,Staroye i novoye,1929,7.3,602,"Eisenstein, Sergei M."
2028221,Disraeli,1929,6.6,577,"Green, Alfred E."
2619803,The Kiss,1929,7.0,549,"Feyder, Jacques"
1906503,Berth Marks,1929,7.0,544,"Foster, Lewis R."
2036264,Double Whoopee,1929,7.1,536,"Foster, Lewis R."
2707308,Unaccustomed As We Are,1929,7.0,521,"Roach, Hal"
2301492,Lucky Star,1929,8.0,520,"Borzage, Frank"
2024353,Die weiße Hölle vom Piz Palü,1929,7.3,518,"Fanck, Arnold"
2614617,The Hoose-Gow,1929,7.1,511,"Parrott, James"
2671499,They Go Boom!,1929,7.1,490,"Parrott, James"
2535415,Speedway,1929,7.8,486,"Beaumont, Harry"
2364273,Navy Blues,1929,7.9,472,"Brown, Clarence"
