id,name
137513,"Benson, George"
137268,"Benrubi, Abraham"
137045,"Benny, Jack"
136636,"Bennett, Richard"
136378,"Bennett, Joseph"
136291,"Bennett, Jeff"
137257,"Benrath, Martin"
136356,"Bennett, John Drew"
137710,"Benson, Robert"
136322,"Bennett, Jimmy"
136005,"Bennett, Charles"
137709,"Benson, Robby"
136337,"Bennett, John"
136380,"Bennett, Joseph"
137638,"Benson, Martin"
137035,Benny Goodman Orchestra
136175,"Bennett, Frank"
136487,"Bennett, Marvin"
138169,"Bentley, Wes"
138614,"Benzali, Daniel"
138913,"Beranger, George"
140219,"Bergen, Edgar"
138049,"Bentley, James"
140456,"Berger, Helmut"
139532,"Beresford, Harry"
139950,"Berg, Peter"
138379,"Bentsen, Lloyd"
138230,"Benton, Curtis"
139093,"Bercek, Aleksandar"
138067,"Bentley, John"
140209,"Bergen, Bob"
139073,"Berbert, Marcel"
138203,"Bento, Serge"
139320,"Beregi Sr., Oscar"
140353,"Berger, Bror"
139411,"Berenger, Tom"
142320,"Berle, Phil"
142504,"Berling, Peter"
140728,"Berger, William"
140998,"Berghof, Herbert"
142006,"Berkeley, Xander"
142590,"Berléand, François"
141120,"Berglund, Erik 'Bullen'"
141209,"Bergman, Harold"
142319,"Berle, Milton"
142331,"Berley, André"
140683,"Berger, Sidney"
142144,"Berkoff, Steven"
141970,"Berkel, Christian"
140751,"Bergerac, Jacques"
142768,"Berman, Shelley"
140944,"Berggren, Thommy"
141060,"Bergin, Patrick"
141214,"Bergman, Henry"
142514,"Berlinger, Joe"
142856,"Bermingham, Jason"
144177,"Berner, Dieter"
144620,"Bernsen, Corbin"
144352,"Bernhardt, Kevin"
145043,"Berrell, George"
145565,"Berry, Ken"
144668,"Bernstein, Bill"
145618,"Berry, Michael"
144302,"Bernhard, Patrick"
143621,"Bernard, Paul"
145452,"Berry, Eric"
142996,"Bern, Sven-Olof"
143349,"Bernard, Armand"
144368,"Bernhardt, Werner"
143443,"Bernard, Ed"
143792,"Bernardi, Herschel"
143332,"Bernard, Alex"
145120,"Berridge, Robbie"
144860,"Bernthal, Jon"
143499,"Bernard, Jacques"
143483,"Bernard, Harry"
145588,"Berry, Lloyd"
